Date,HE,P/OP,Gen,RT Busbar,RT Hub,DA Busbar,DA Hub
1-Jan-22,1,0,0.0,60.36,60.0,58.03,57.68
1-Jan-22,2,0,0.0,58.14,58.14,60.56,60.24
1-Jan-22,3,0,0.0,60.43,59.96,57.5,57.4
1-Jan-22,4,0,0.0,66.69,65.84,58.38,58.29
1-Jan-22,5,0,0.0,66.09,65.15,60.47,60.3
1-Jan-22,6,0,0.0,79.13,78.2,74.94,74.6
1-Jan-22,7,0,0.0,89.81,88.83,82.32,81.8
1-Jan-22,8,0,20.9,84.85,83.55,75.11,74.7
1-Jan-22,9,0,87.3,52.87,52.18,52.49,52.24
1-Jan-22,10,0,91.3,38.3,38.68,38.39,38.23
1-Jan-22,11,0,85.7,16.19,17.52,32.96,32.98
1-Jan-22,12,0,81.1,12.39,12.9,26.69,26.57
1-Jan-22,13,0,81.2,14.43,14.29,25.97,25.86
1-Jan-22,14,0,85.8,13.65,13.51,28.07,27.95
1-Jan-22,15,0,90.7,14.43,14.25,31.17,31.08
1-Jan-22,16,0,81.8,35.71,35.36,53.62,53.52
1-Jan-22,17,0,16.4,77.06,76.65,81.23,80.74
1-Jan-22,18,0,0.0,103.38,102.5,90.85,90.33
1-Jan-22,19,0,0.0,92.35,90.97,90.89,90.25
1-Jan-22,20,0,0.0,91.3,90.08,87.3,86.65
1-Jan-22,21,0,0.0,80.44,79.54,81.86,81.37
1-Jan-22,22,0,0.0,80.15,79.5,78.54,78.14
1-Jan-22,23,0,0.0,78.99,78.18,75.06,74.7
1-Jan-22,24,0,0.0,74.94,74.09,65.14,64.95
2-Jan-22,1,0,0.0,65.29,64.63,65.07,64.66
2-Jan-22,2,0,0.0,68.05,67.32,62.75,62.46
2-Jan-22,3,0,0.0,64.23,63.67,62.4,62.35
2-Jan-22,4,0,0.0,62.46,61.66,62.04,62.0
2-Jan-22,5,0,0.0,63.18,62.4,64.08,63.92
2-Jan-22,6,0,0.0,65.08,64.27,72.76,72.56
2-Jan-22,7,0,0.0,100.27,98.93,74.87,74.64
2-Jan-22,8,0,20.4,79.73,78.54,70.51,70.22
2-Jan-22,9,0,85.5,57.62,56.94,51.49,51.39
2-Jan-22,10,0,89.7,31.39,32.14,38.36,38.26
2-Jan-22,11,0,84.6,19.35,20.66,28.52,31.32
2-Jan-22,12,0,80.0,18.3,19.58,25.32,26.53
2-Jan-22,13,0,80.0,20.95,22.04,25.06,24.98
2-Jan-22,14,0,84.4,14.71,16.29,25.75,25.69
2-Jan-22,15,0,88.9,25.73,26.89,29.86,29.82
2-Jan-22,16,0,80.6,58.03,57.93,51.51,51.49
2-Jan-22,17,0,16.6,96.41,96.41,75.58,75.19
2-Jan-22,18,0,0.0,100.1,98.9,90.44,89.97
2-Jan-22,19,0,0.0,95.83,94.6,87.82,87.34
2-Jan-22,20,0,0.0,91.62,90.64,86.56,85.99
2-Jan-22,21,0,0.0,84.53,83.7,82.63,82.11
2-Jan-22,22,0,0.0,83.34,82.69,75.84,75.45
2-Jan-22,23,0,0.0,72.02,71.55,70.33,69.92
2-Jan-22,24,0,0.0,68.44,67.99,67.65,67.54
3-Jan-22,1,0,0.0,64.02,63.87,65.96,65.65
3-Jan-22,2,0,0.0,64.74,64.64,65.27,65.04
3-Jan-22,3,0,0.0,63.54,63.55,64.87,64.68
3-Jan-22,4,0,0.0,63.47,63.47,64.3,64.12
3-Jan-22,5,0,0.0,67.83,67.75,66.35,66.18
3-Jan-22,6,0,0.0,86.47,86.47,77.15,76.78
3-Jan-22,7,1,0.0,118.81,118.64,102.69,102.16
3-Jan-22,8,1,19.7,89.52,88.85,98.62,97.89
3-Jan-22,9,1,85.0,74.36,74.26,72.99,73.09
3-Jan-22,10,1,89.2,60.7,60.37,58.72,59.02
3-Jan-22,11,1,84.1,54.91,53.65,47.84,48.59
3-Jan-22,12,1,79.5,56.1,54.81,46.97,47.47
3-Jan-22,13,1,79.4,52.61,51.26,46.59,47.04
3-Jan-22,14,1,83.6,54.01,52.39,44.97,45.51
3-Jan-22,15,1,88.2,57.92,57.3,47.48,47.96
3-Jan-22,16,1,80.0,84.5,83.65,59.27,59.41
3-Jan-22,17,1,17.0,106.34,105.55,88.89,88.84
3-Jan-22,18,1,0.0,105.2,105.2,118.62,118.39
3-Jan-22,19,1,0.0,101.02,100.33,106.07,106.01
3-Jan-22,20,1,0.0,91.12,90.62,96.69,96.58
3-Jan-22,21,1,0.0,91.5,91.11,87.61,87.57
3-Jan-22,22,1,0.0,75.55,75.5,76.85,77.02
3-Jan-22,23,0,0.0,74.83,75.08,73.84,73.82
3-Jan-22,24,0,0.0,62.39,62.69,66.09,66.46
4-Jan-22,1,0,0.0,56.64,56.64,53.67,53.86
4-Jan-22,2,0,0.0,54.85,55.03,51.39,51.57
4-Jan-22,3,0,0.0,54.26,54.49,50.81,51.07
4-Jan-22,4,0,0.0,54.74,54.93,50.36,50.49
4-Jan-22,5,0,0.0,56.1,56.32,51.15,51.31
4-Jan-22,6,0,0.0,64.33,64.44,59.36,59.33
4-Jan-22,7,1,0.0,71.85,72.03,82.54,82.72
4-Jan-22,8,1,19.7,77.57,77.17,78.33,78.4
4-Jan-22,9,1,84.9,55.35,54.96,58.21,58.36
4-Jan-22,10,1,89.3,44.29,44.27,48.24,48.78
4-Jan-22,11,1,84.4,27.88,29.14,39.02,40.11
4-Jan-22,12,1,79.6,14.52,15.84,33.68,34.53
4-Jan-22,13,1,79.3,13.98,15.02,33.01,33.88
4-Jan-22,14,1,83.5,18.52,19.13,34.34,35.34
4-Jan-22,15,1,88.0,11.83,13.28,39.29,40.06
4-Jan-22,16,1,81.0,51.37,51.35,56.05,56.46
4-Jan-22,17,1,17.7,68.33,67.93,78.54,78.7
4-Jan-22,18,1,0.0,92.15,91.36,92.38,92.4
4-Jan-22,19,1,0.0,86.85,86.24,86.49,86.46
4-Jan-22,20,1,0.0,76.5,76.23,80.09,80.07
4-Jan-22,21,1,0.0,70.45,70.27,78.22,78.34
4-Jan-22,22,1,0.0,60.79,60.75,69.62,69.76
4-Jan-22,23,0,0.0,54.28,54.19,60.98,60.92
4-Jan-22,24,0,0.0,50.78,50.62,58.3,58.24
5-Jan-22,1,0,0.0,40.77,40.62,51.83,51.95
5-Jan-22,2,0,0.0,38.61,38.54,49.27,49.39
5-Jan-22,3,0,0.0,46.11,46.15,48.32,48.36
5-Jan-22,4,0,0.0,47.07,47.14,47.62,47.68
5-Jan-22,5,0,0.0,46.73,46.72,48.05,48.14
5-Jan-22,6,0,0.0,50.5,50.45,55.83,55.82
5-Jan-22,7,1,0.0,66.52,66.47,77.22,77.44
5-Jan-22,8,1,6.0,79.64,78.89,77.44,77.41
5-Jan-22,9,1,32.3,50.57,49.87,56.33,56.36
5-Jan-22,10,1,24.5,40.28,39.59,46.62,47.03
5-Jan-22,11,1,27.2,30.51,30.31,41.15,41.66
5-Jan-22,12,1,26.8,6.54,8.25,37.45,37.63
5-Jan-22,13,1,30.1,-0.29,1.64,36.04,36.32
5-Jan-22,14,1,15.7,7.36,8.59,36.72,37.15
5-Jan-22,15,1,9.3,32.99,33.02,41.17,41.65
5-Jan-22,16,1,1.9,46.87,46.26,56.86,56.82
5-Jan-22,17,1,0.0,67.01,65.96,80.0,79.54
5-Jan-22,18,1,0.0,81.26,79.87,91.1,90.52
5-Jan-22,19,1,0.0,71.09,70.01,84.67,84.08
5-Jan-22,20,1,0.0,74.01,72.89,79.16,78.52
5-Jan-22,21,1,0.0,73.98,72.82,76.05,75.54
5-Jan-22,22,1,0.0,61.41,60.62,70.69,70.28
5-Jan-22,23,0,0.0,56.3,55.63,62.39,61.97
5-Jan-22,24,0,0.0,52.93,52.22,55.57,55.13
6-Jan-22,1,0,0.0,50.8,50.15,47.55,47.46
6-Jan-22,2,0,0.0,50.14,49.57,46.32,46.21
6-Jan-22,3,0,0.0,48.89,48.41,46.2,46.11
6-Jan-22,4,0,0.0,49.24,48.81,46.32,46.25
6-Jan-22,5,0,0.0,50.04,49.59,47.76,47.68
6-Jan-22,6,0,0.0,64.47,63.91,56.28,56.13
6-Jan-22,7,1,0.0,77.89,77.59,72.64,72.55
6-Jan-22,8,1,19.1,71.56,71.03,74.0,73.76
6-Jan-22,9,1,83.1,77.32,76.89,54.6,54.4
6-Jan-22,10,1,88.4,50.03,49.63,47.48,47.48
6-Jan-22,11,1,83.6,47.13,45.92,38.36,38.82
6-Jan-22,12,1,79.2,43.59,42.37,34.26,34.61
6-Jan-22,13,1,79.0,36.09,35.11,33.85,34.08
6-Jan-22,14,1,82.9,26.75,26.82,33.91,34.15
6-Jan-22,15,1,87.0,37.11,36.91,37.26,37.39
6-Jan-22,16,1,81.5,55.02,54.85,51.83,51.79
6-Jan-22,17,1,18.7,73.54,72.54,70.07,70.23
6-Jan-22,18,1,0.0,93.18,93.18,83.61,83.41
6-Jan-22,19,1,0.0,79.01,78.04,74.56,74.41
6-Jan-22,20,1,0.0,76.03,75.26,70.35,70.26
6-Jan-22,21,1,0.0,71.85,71.14,65.59,65.45
6-Jan-22,22,1,0.0,62.29,61.76,60.88,60.79
6-Jan-22,23,0,0.0,51.46,51.1,57.54,57.38
6-Jan-22,24,0,0.0,46.84,46.59,53.34,53.27
7-Jan-22,1,0,0.0,46.62,46.28,49.67,49.63
7-Jan-22,2,0,0.0,47.29,47.0,47.92,47.87
7-Jan-22,3,0,0.0,46.49,46.23,45.63,45.56
7-Jan-22,4,0,0.0,46.97,46.76,44.93,44.9
7-Jan-22,5,0,0.0,48.81,48.68,44.77,44.71
7-Jan-22,6,0,0.0,53.78,53.67,52.38,52.29
7-Jan-22,7,1,0.0,63.78,63.76,65.0,65.0
7-Jan-22,8,1,7.0,62.87,64.09,60.75,60.62
7-Jan-22,9,1,45.0,59.12,59.7,50.5,50.18
7-Jan-22,10,1,31.3,40.83,40.36,45.28,45.06
7-Jan-22,11,1,72.3,37.1,36.2,38.42,38.36
7-Jan-22,12,1,77.2,33.59,32.46,32.2,31.95
7-Jan-22,13,1,77.2,32.73,31.93,32.05,32.08
7-Jan-22,14,1,81.1,28.37,27.78,30.1,30.4
7-Jan-22,15,1,85.0,44.72,44.6,37.92,37.77
7-Jan-22,16,1,79.5,66.8,67.2,47.01,47.0
