Date,P/OP,Gen,RT Busbar,RT Hub,DA Busbar,DA Hub,Season_1,Season_2,Season_3,Season_4,day_of_week,day_of_year,is_weekend,is_vacation,POD_Night,POD_Morning,POD_Afternoon,POD_Evening
1-Jan-22,0,36.8,0.74,56.43,5.2,30.17,1,0,0,0,5,1,1,1,1,0,0,0
1-Jan-22,0,17.0,-3.78,29.24,1.54,22.08,1,0,0,0,5,1,1,1,1,0,0,0
1-Jan-22,0,14.6,-4.0,22.15,1.83,19.97,1,0,0,0,5,1,1,1,1,0,0,0
1-Jan-22,0,14.6,-4.0,19.59,2.5,15.9,1,0,0,0,5,1,1,1,1,0,0,0
1-Jan-22,0,14.4,-4.0,13.66,-1.34,10.0,1,0,0,0,5,1,1,1,1,0,0,0
1-Jan-22,0,14.0,-4.06,11.57,0.08,12.93,1,0,0,0,5,1,1,1,0,1,0,0
1-Jan-22,0,13.7,-4.06,10.25,0.86,13.76,1,0,0,0,5,1,1,1,0,1,0,0
1-Jan-22,0,14.5,-4.0,10.38,5.87,14.88,1,0,0,0,5,1,1,1,0,1,0,0
1-Jan-22,0,12.2,-5.35,8.94,8.84,15.74,1,0,0,0,5,1,1,1,0,1,0,0
1-Jan-22,0,1.6,-5.08,19.05,19.48,19.87,1,0,0,0,5,1,1,1,0,1,0,0
1-Jan-22,0,15.4,9.26,21.26,24.99,24.03,1,0,0,0,5,1,1,1,0,0,1,0
1-Jan-22,0,7.7,25.97,26.23,27.98,26.02,1,0,0,0,5,1,1,1,0,0,1,0
1-Jan-22,0,2.9,27.6,27.67,30.75,27.94,1,0,0,0,5,1,1,1,0,0,1,0
1-Jan-22,0,1.8,28.34,28.08,35.64,29.42,1,0,0,0,5,1,1,1,0,0,1,0
1-Jan-22,0,7.0,55.75,31.25,34.51,28.08,1,0,0,0,5,1,1,1,0,0,1,0
1-Jan-22,0,5.4,51.9,29.7,38.27,32.78,1,0,0,0,5,1,1,1,0,0,1,0
1-Jan-22,0,5.2,42.63,28.21,47.07,43.72,1,0,0,0,5,1,1,1,0,0,0,1
1-Jan-22,0,9.1,25.3,24.43,29.09,28.79,1,0,0,0,5,1,1,1,0,0,0,1
1-Jan-22,0,23.1,22.79,22.77,25.66,25.55,1,0,0,0,5,1,1,1,0,0,0,1
1-Jan-22,0,20.7,22.27,22.36,22.93,22.79,1,0,0,0,5,1,1,1,0,0,0,1
1-Jan-22,0,19.2,21.65,21.84,22.58,22.47,1,0,0,0,5,1,1,1,0,0,0,1
1-Jan-22,0,30.8,20.28,20.19,23.91,23.8,1,0,0,0,5,1,1,1,0,0,0,1
1-Jan-22,0,20.1,17.35,17.36,23.23,23.15,1,0,0,0,5,1,1,1,0,0,0,0
2-Jan-22,0,14.5,6.88,6.88,26.56,26.43,1,0,0,0,6,2,1,0,1,0,0,0
2-Jan-22,0,8.8,7.33,7.31,24.64,24.59,1,0,0,0,6,2,1,0,1,0,0,0
2-Jan-22,0,6.0,6.65,6.63,23.51,23.67,1,0,0,0,6,2,1,0,1,0,0,0
2-Jan-22,0,59.8,9.07,9.21,15.85,21.37,1,0,0,0,6,2,1,0,1,0,0,0
2-Jan-22,0,32.3,-3.25,9.67,-3.44,20.29,1,0,0,0,6,2,1,0,1,0,0,0
2-Jan-22,0,14.1,-4.0,16.7,-3.07,22.24,1,0,0,0,6,2,1,0,0,1,0,0
2-Jan-22,0,14.3,-4.01,14.94,-4.0,25.32,1,0,0,0,6,2,1,0,0,1,0,0
2-Jan-22,0,14.2,-4.03,16.4,-1.49,30.75,1,0,0,0,6,2,1,0,0,1,0,0
2-Jan-22,0,14.7,-4.0,17.54,0.58,36.24,1,0,0,0,6,2,1,0,0,1,0,0
2-Jan-22,0,14.4,-4.0,17.54,-1.38,30.71,1,0,0,0,6,2,1,0,0,1,0,0
2-Jan-22,0,14.2,-4.0,20.73,-1.16,29.54,1,0,0,0,6,2,1,0,0,1,0,0
2-Jan-22,0,14.4,-4.0,22.44,-1.54,28.66,1,0,0,0,6,2,1,0,0,0,1,0
2-Jan-22,0,14.5,-4.0,19.85,-3.22,26.78,1,0,0,0,6,2,1,0,0,0,1,0
2-Jan-22,0,14.5,-4.0,19.14,-5.98,24.02,1,0,0,0,6,2,1,0,0,0,1,0
2-Jan-22,0,14.4,-4.0,16.28,-6.54,23.46,1,0,0,0,6,2,1,0,0,0,1,0
2-Jan-22,0,14.5,-4.01,13.79,-6.87,23.13,1,0,0,0,6,2,1,0,0,0,1,0
2-Jan-22,0,1.2,-12.05,14.27,-2.32,27.69,1,0,0,0,6,2,1,0,0,0,1,0
2-Jan-22,0,0.1,-18.35,25.74,40.99,74.78,1,0,0,0,6,2,1,0,0,0,0,1
2-Jan-22,0,12.5,-4.32,30.74,60.69,89.05,1,0,0,0,6,2,1,0,0,0,0,1
2-Jan-22,0,17.6,-3.75,35.0,55.58,69.43,1,0,0,0,6,2,1,0,0,0,0,1
2-Jan-22,0,48.5,-0.44,36.43,50.6,61.11,1,0,0,0,6,2,1,0,0,0,0,1
2-Jan-22,0,54.0,27.13,36.2,39.62,47.82,1,0,0,0,6,2,1,0,0,0,0,1
2-Jan-22,0,36.0,34.41,34.41,35.91,38.94,1,0,0,0,6,2,1,0,0,0,0,1
2-Jan-22,0,30.1,34.9,34.85,34.31,36.72,1,0,0,0,6,2,1,0,0,0,0,0
3-Jan-22,0,32.0,35.18,35.08,31.15,31.04,1,0,0,0,0,3,0,0,1,0,0,0
3-Jan-22,0,14.6,35.09,34.99,30.57,30.52,1,0,0,0,0,3,0,0,1,0,0,0
3-Jan-22,0,7.8,35.88,35.76,30.15,30.09,1,0,0,0,0,3,0,0,1,0,0,0
3-Jan-22,0,8.9,36.58,36.46,29.76,29.73,1,0,0,0,0,3,0,0,1,0,0,0
3-Jan-22,0,4.8,37.33,37.19,31.18,30.85,1,0,0,0,0,3,0,0,1,0,0,0
3-Jan-22,0,5.1,37.59,37.47,39.16,38.84,1,0,0,0,0,3,0,0,0,1,0,0
3-Jan-22,1,5.5,53.54,55.19,93.32,93.91,1,0,0,0,0,3,0,0,0,1,0,0
3-Jan-22,1,7.6,51.43,51.84,100.34,100.01,1,0,0,0,0,3,0,0,0,1,0,0
3-Jan-22,1,6.7,35.0,34.93,46.93,46.56,1,0,0,0,0,3,0,0,0,1,0,0
3-Jan-22,1,3.8,26.48,26.48,34.57,33.95,1,0,0,0,0,3,0,0,0,1,0,0
3-Jan-22,1,5.6,26.12,26.14,29.69,29.01,1,0,0,0,0,3,0,0,0,1,0,0
3-Jan-22,1,1.3,23.45,23.47,27.66,27.23,1,0,0,0,0,3,0,0,0,0,1,0
3-Jan-22,1,0.0,22.58,22.59,28.42,26.95,1,0,0,0,0,3,0,0,0,0,1,0
3-Jan-22,1,0.0,21.04,21.04,27.38,25.76,1,0,0,0,0,3,0,0,0,0,1,0
3-Jan-22,1,0.2,18.52,18.52,27.15,25.24,1,0,0,0,0,3,0,0,0,0,1,0
3-Jan-22,1,2.7,17.44,17.44,25.58,24.03,1,0,0,0,0,3,0,0,0,0,1,0
3-Jan-22,1,1.0,20.93,20.93,29.14,27.4,1,0,0,0,0,3,0,0,0,0,1,0
3-Jan-22,1,0.3,26.76,26.76,47.89,47.25,1,0,0,0,0,3,0,0,0,0,0,1
3-Jan-22,1,0.7,24.85,24.85,35.28,35.16,1,0,0,0,0,3,0,0,0,0,0,1
3-Jan-22,1,2.0,22.74,22.74,31.15,30.83,1,0,0,0,0,3,0,0,0,0,0,1
3-Jan-22,1,2.1,23.08,21.98,30.81,30.37,1,0,0,0,0,3,0,0,0,0,0,1
3-Jan-22,1,0.2,31.83,21.38,29.18,28.6,1,0,0,0,0,3,0,0,0,0,0,1
3-Jan-22,0,0.1,31.84,21.32,26.99,26.47,1,0,0,0,0,3,0,0,0,0,0,1
3-Jan-22,0,0.0,30.72,20.4,24.69,24.1,1,0,0,0,0,3,0,0,0,0,0,0
4-Jan-22,0,0.0,23.47,21.91,18.67,18.28,1,0,0,0,1,4,0,0,1,0,0,0
4-Jan-22,0,0.0,21.94,21.86,17.71,17.28,1,0,0,0,1,4,0,0,1,0,0,0
4-Jan-22,0,0.0,21.89,22.01,18.71,18.34,1,0,0,0,1,4,0,0,1,0,0,0
4-Jan-22,0,0.0,22.5,22.73,20.34,19.76,1,0,0,0,1,4,0,0,1,0,0,0
4-Jan-22,0,4.2,23.38,23.53,23.53,23.21,1,0,0,0,1,4,0,0,1,0,0,0
4-Jan-22,0,5.1,23.57,23.82,26.41,25.87,1,0,0,0,1,4,0,0,0,1,0,0
4-Jan-22,1,0.0,30.51,30.8,41.38,40.16,1,0,0,0,1,4,0,0,0,1,0,0
4-Jan-22,1,0.0,30.94,31.25,43.61,42.25,1,0,0,0,1,4,0,0,0,1,0,0
4-Jan-22,1,0.0,24.97,25.24,36.74,35.39,1,0,0,0,1,4,0,0,0,1,0,0
4-Jan-22,1,0.0,22.6,22.53,30.0,28.98,1,0,0,0,1,4,0,0,0,1,0,0
4-Jan-22,1,3.1,22.58,21.88,26.15,24.79,1,0,0,0,1,4,0,0,0,1,0,0
4-Jan-22,1,17.6,19.91,20.1,23.44,22.64,1,0,0,0,1,4,0,0,0,0,1,0
4-Jan-22,1,24.0,18.97,19.47,20.87,20.06,1,0,0,0,1,4,0,0,0,0,1,0
